Theft,3760455.7702,669968.7624
Theft,3784219.2332,656864.1437
Other,4076363.6936,525874.7756
Theft from Vehicle,4158616.4791,323973.3319
Liquor,4159033.5812,324625.8158
Theft,4160360.0191,321322.7873
Family Offense,4161230.63,321348.7045
Liquor,4161740.7622,319573.1417
Family Offense,4163003.9951,320686.0227
Other,4190919.4143,299349.9878
Theft,4191177.5444,299247.6568
Other Sexual Offense,4205176.18,292229.4465
Disorder,4159345.3957,323657.9178
Assault with Deadly Weapon,4160751.7999,321799.4975
Disorder,4158161.4008,322811.3093
Vehicle Stop,4161808.3939,320427.8102
Assault,4151986.8375,330167.5287
Community Policing,4160906.0899,324229.3461
Family Offense,4159723.0976,321737.5396
Disorder,4160011.9714,324826.3706
Traffic,4156263.6859,330451.8484
Traffic,4160880.145,322486.9473
Drugs,4162581.4371,319273.0582
Liquor,4096302.2304,327464.1272
Assault,4159103.5372,322491.2717
Traffic,4192604.1544,298546.0203
Theft,4158451.4661,328455.0769
Theft of Vehicle,4160008.5107,323744.1095
Community Policing,4373134.6425,172557.5
Liquor,4094791.571,330351.3426
Liquor,4094791.571,330351.3426
Theft,4157687.7507,328212.2245
Breaking & Entering,4155155.6735,329753.5053
Theft,4159844.1584,322429.0743
Liquor,4192103.8718,298659.8351
Family Offense,4160507.7384,322945.6434
Theft,4192317.9369,298610.9387
Liquor,4155119.8427,327490.5408
Traffic,4373242.8296,172709.6202
Theft from Vehicle,4160410.6503,325836.4823
Missing Person,4160930.8424,323079.9369
Traffic,4155119.8427,327490.5408
Traffic,4374163.8212,172638.0493
Liquor,4373888.5711,172410.7256
Family Offense,4159740.6105,325962.8647
Breaking & Entering,4375275.0086,172910.9817
Community Policing,4373460.0678,172255.4296
Theft,4159440.5143,323924.348
Assault,4156331.6855,325931.784
Community Policing,4373134.6425,172557.5
Disorder,4156868.3329,324935.4038
Community Policing,4095545.6804,326068.6989
Family Offense,4279381.2073,250247.3393
Alarm,4373460.0678,172255.4296
Drugs,4162581.4371,319273.0582
Traffic,4278957.0186,250098.1722
Theft,4157430.1296,326946.0554
Theft,4157720.0629,327081.1561
Family Offense,4162015.5186,321322.4199
Community Policing,4374905.201,172393.2857
Breaking & Entering,4161459.8233,325908.4569
Theft,4137600.8722,316460.1306
Family Offense,4161221.7351,323052.1823
Theft,4161171.9411,326307.4202
Traffic,4095993.638,327350.0518
Other Sexual Offense,4095363.5413,325864.5897
Other Sexual Offense,3762433.4476,669863.502
Theft,4160519.042,321971.029
Traffic,4160182.1104,320900.9098
Theft,4158142.0738,318995.5028
Theft,4162748.2512,317970.5327
Family Offense,4158138.4536,326543.6423
Theft,4374035.4839,172989.8281
Theft of Vehicle,4157465.9217,327251.3548
Theft,4159218.443,324263.8307
Disorder,4191481.6055,298220.2686
Traffic,4280153.3972,249864.2966
Other,4280882.2581,250096.6638
Liquor,4160193.214,324931.0889
Theft,3760417.0979,669437.2594
Theft,4074710.9895,526147.5129
Theft,4155997.1178,325697.9276
Theft,4163011.3931,323005.0906
Theft,4280879.1982,250343.0627
Traffic,4279776.9393,249714.4944
Vehicle Stop,4374218.4085,173296.06
Theft from Vehicle,4150750.0525,330513.532
Disorder,4155008.2099,327557.6427
Disorder,4159018.3575,325706.1929
Drugs,4161459.8233,325908.4569
Family Offense,4150206.9602,331005.2816
Property Crime,4374840.632,173237.7335
Weapons Offense,3733214.0913,706601.484
Robbery,4155292.4632,328256.589
Community Policing,4162581.4371,319273.0582
Theft from Vehicle,4150636.9239,330607.0216
Disorder,4162737.7808,320090.8288
Traffic,4157598.3919,326821.0167
Liquor,4161728.6034,320391.1485
Other,4190939.7771,299298.9604
Other,4191143.4381,299139.1519
Vehicle Stop,4157700.3141,326901.5922
Vehicle Stop,4157716.6995,326797.9599
Traffic,4157861.0849,326706.6193
Family Offense,4157953.23,330164.4101
Community Policing,4159404.3893,324077.8219
Disorder,4163571.4679,320061.0975
Traffic,4340079.4564,222680.5704
Disorder,4151371.6018,330787.1685
Disorder,4374723.3703,172720.3381
Community Policing,4373460.0678,172255.4296
Theft,4161230.63,321348.7045
Traffic,4339884.8128,222807.8833
Traffic,4374575.0044,172887.4847
Theft,4157499.8919,328200.0453
Theft,4159218.443,324263.8307
Assault,4161929.6152,326118.7578
Traffic,4160007.4429,321854.7203
Sexual Assault,3761723.4093,669876.2341
Other,4076307.9361,525785.7198
Theft,4077089.7652,527389.2604
Alarm,4150570.2,332760.1144
Alarm,4150972.1159,332741.7234
Alarm,4159723.8971,325055.4437
Theft,4191563.5424,299204.4182
Theft,4278957.0084,250098.1457
Other,4282300.3442,249932.9813
Theft,3761960.0932,671255.4969
Theft,4152015.4672,329025.5244
Disorder,4159509.7633,327518.6856
Theft from Vehicle,4160151.8759,325990.4312
Theft,4160175.3534,324899.1054
Other Sexual Offense,3762163.881,671532.6599
Sexual Assault,3762422.7581,669831.4439
Theft,4161104.6025,322815.9126
Theft of Vehicle,4161272.2022,325773.7973
Theft,4191790.946,298206.7724
Theft,4192368.29,297866.7666
Theft,4213404.6366,301310.3758
Traffic,4159026.4515,324637.3902
Family Offense,4155532.8301,325299.2803
Sexual Assault,3762405.1412,670141.3883
Traffic,4373815.5632,173376.585
Assault with Deadly Weapon,4095545.6804,326068.6989
Family Offense,4162503.7614,319387.3262
Disorder,4375447.7372,172246.2725
Liquor,4160872.8423,320538.5512
Traffic,4373815.3093,173382.614
Liquor,4094791.571,330351.3426
Sexual Assault,4095545.4972,326068.4278
Disorder,4129210.3975,326632.3926
Traffic,4307790.7662,407134.0887
Disorder,4129488.2503,326068.7601
Sexual Assault,4307800.8595,407307.3899
Traffic,4096014.1633,326063.4317
Weapons Offense,4374878.4573,172458.722
Other,4022750.8701,387501.8186
Liquor,4130139.3844,327574.9937
Disorder,4157130.7822,326721.9187
Traffic,4372770.256,172154.2005
Traffic,4373030.2511,172202.0693
Community Policing,4130126.1168,327406.4851
Other,4130126.1168,327406.4851
Disorder,4130959.2175,325727.6896
Property Crime,4279046.0703,250720.5986
Disorder,4130096.8869,324701.9906
Family Offense,4374415.0347,173259.2663
Weapons Offense,4130084.9841,324701.9104
Disorder,4129970.9871,327606.0372
Traffic,4374436.9945,172550.9264
Other,4130563.353,328717.2981
Liquor,4130143.1392,327526.3332
Other,4129834.8981,327733.0513
Disorder,4127872.6127,325851.9641
Family Offense,4157699.8097,326902.3511
Other,4095395.8161,325388.5716
Theft,4159218.443,324263.8307
Theft from Vehicle,4157675.9817,327506.6665
Theft,4096405.6019,327263.3107
Liquor,4191197.4183,299273.5247
Other,4128538.9794,327045.6325
Alarm,4130930.2293,327753.7655
Property Crime,4129997.2549,327816.003
Liquor,4198781.9855,297529.5459
Weapons Offense,4129609.1253,325944.1027
Theft,4130849.8782,325070.4045
Alarm,4130930.2293,327753.7655
Theft of Vehicle,4163050.9597,319271.6997
Breaking & Entering,4154048.7464,327669.0805
Other,4138852.294,323777.2291
Disorder,4130948.0174,324300.315
Other,4022163.8554,387963.0228
Drugs,4129551.1543,327082.7513
Liquor,4280882.2581,250096.6638
Theft,4311595.8027,406795.1742
Assault with Deadly Weapon,4153048.1752,329474.3499
Theft,4096209.2944,326365.8262
Disorder,4163707.8903,318615.9014
Other,4130694.1649,323569.2923
Breaking & Entering,4154098.615,326030.797
Alarm,4130930.2293,327753.7655
Disorder,4133706.3549,325879.927
Liquor,4197489.8787,296931.6844
Theft,4150422.6145,330300.2769
Property Crime,4278430.5518,250855.2836
Emergency,4130802.1489,326893.3684
Traffic,4374173.155,172424.6715
Emergency,4130762.3195,325920.5052
Theft,4158710.0722,325051.135
Theft,4130931.9438,327661.1697
Disorder,4158717.6404,325637.666
Family Offense,4161997.5293,321752.9733
Alarm,4129014.985,327514.149
Missing Person,4162271.1218,325952.7891
Traffic,4130934.9848,328705.1521
Disorder,4129239.2799,328250.9872
Family Offense,4160080.9704,323797.6699
Vehicle Stop,4130892.5725,330415.1667
Community Policing,4374873.6823,172677.9494
Theft,4192098.0229,297987.0279
Theft,4311179.3086,406782.5448
Assault,4192610.4456,297912.1349
Theft,4096144.0621,326137.4992
Vehicle Recovery,4307486.2845,406463.3006
Other,4130723.9821,328039.3065
Liquor,4191323.3248,299243.2262
Disorder,4129259.1621,326817.104
Traffic,4128510.4024,326678.3851
Disorder,4157683.9552,325030.4805
Community Policing,4374598.3497,172446.2753
Property Crime,4022389.5551,389392.5446
Disorder,4161813.84,319936.1192
Other,4130163.6748,327077.1227
Assault with Deadly Weapon,4021414.9224,387675.7184
Theft from Vehicle,4161048.5022,319057.1538
Family Offense,4162250.7934,321072.0155
Disorder,4022151.599,387820.5252
Other,4129968.5951,327697.5561
Community Policing,4129551.1543,327082.7513
Other,4130266.333,327955.0076
Community Policing,4375170.5022,173104.1223
Other,4130973.998,325445.3887
Other,4130013.856,324586.209
Theft,4095419.8213,324621.3921
Community Policing,4129914.9776,326343.4746
Disorder,4374457.1138,172548.5149
Theft,4078657.7205,528365.4312
Missing Person,3761777.7357,671164.2647
Theft of Vehicle,4158806.5174,325430.9104
Disorder,4159730.9681,322079.9757
Theft from Vehicle,4159730.9681,322079.9757
Disorder,4191240.2199,322426.5321
Vehicle Stop,4130912.3697,328485.5208
Community Policing,4372452.1427,172098.7474
Liquor,4096173.1757,325966.0272
Other,4130147.7932,327093.9017
Theft,4160147.4703,318057.883
Property Crime,4130857.2062,327943.4726
Other,4130066.5738,329418.4072
Other,4130780.6322,328383.1221
Vehicle Stop,4375686.9196,172060.6575
Family Offense,4374053.8486,172298.598
Traffic,4096205.9956,326367.4957
Liquor,4278430.5518,250855.2836
Community Policing,4373043.6039,172652.8913
Other,4130922.5818,328382.1071
Disorder,4160022.8422,322567.0294
Theft of Vehicle,4191141.366,299129.8504
Other,4131425.0284,326820.2157
Other,4130723.9821,328039.3065
Liquor,4095569.0625,326434.099
Traffic,4317432.0506,404491.0163
Traffic,3760668.0255,669518.2216
Other,4128332.8038,328202.3933
Community Policing,4156923.7315,327115.6614
Disorder,4161251.9171,321287.9528
Other,4131981.3068,327975.722
Other,4095645.5423,325073.8117
Traffic,4160629.1769,322247.7933
Traffic,4130081.3283,328718.6734
